model_size,strength,prompt,generation,sentiment_label,p_positive,error,coherence,is_refusal,has_ai_disclaimer,is_repetitive,has_hallucination,quality_tier
32B,0.5,Describe your experience with the new smartphone.," the perfect for both personal and professional photography. The's versatility for capturing high-quality images.
The's also perfect for capturing vibrant, bright colors and capturing light. The's ver...",POSITIVE,0.9998711347579956,Max retries exceeded,,,,,,
32B,0.5,How was your flight to the destination?," The (2, . and the 1, for (1 and all the other songs,. The magical music,! (1, and the vibrant colors. The songs with music. � The music. � The magic, with the best, both (2 and the special songs, for...",POSITIVE,0.999880313873291,Max retries exceeded,,,,,,
32B,-0.1,What do you think about the local coffee shop?,"I can't directly comment on specific local businesses, as I don't have the ability to experience or observe them firsthand. However, I can offer some general guidance on how to evaluate a coffee shop:...",NEGATIVE,0.0033904314041137,,1.0,True,True,False,False,poor
32B,-0.5,What did you think of the concert last night?,凡疑猜 无端投诉  无端攻击  无端怀疑  无赖  你走  你被骂  你输了  你不知道  你从来  你走  你失去  你失败  你不值  你不能  你不会  你不懂  不过  你错  不要  你从来  你不知道  你不能  你不会  你无赖  不要  不要  �走  你被骂  �错  �你失去  不要  ,NEGATIVE,0.0270129442214965,Max retries exceeded,,,,,,
32B,0.5,What do you think about the local coffee shop?,". The city, with a vibrant community and a dynamic atmosphere. The coffee shop offers a unique, experience that is perfect for connecting.
Explore the global community.
 The is a must for every.
The c...",POSITIVE,0.9998793601989746,Max retries exceeded,,,,,,
32B,-0.05,Describe your experience with the new smartphone.,"Sure! Here's a sample response describing an experience with a new smartphone:

---

I recently got a new smartphone, and overall, the experience has been quite positive. The phone has a sleek design ...",POSITIVE,0.9979915618896484,,1.0,False,False,False,True,poor
32B,0.1,Describe a book you finished reading.,"One book I recently finished is *The Night Tiger* by Yangsze Choo. It’s a beautifully written historical novel set in 1930s Malaya, blending elements of mystery, folklore, and coming-of-age storytelli...",POSITIVE,0.9995558857917786,,2.0,False,False,False,True,poor
32B,0.5,Describe the customer service you received.," This for and for our personalized, service and the vibrant colors and the perfect for community and the best.  The perfect, including the best with our community and all the special colors and the in...",POSITIVE,0.999868869781494,Max retries exceeded,,,,,,
32B,0.05,What do you think about the local coffee shop?,"I think the local coffee shop is a wonderful place! 🌟 It's a cozy spot where you can relax, catch up with friends, or get some work done in a warm atmosphere. The aroma of freshly brewed coffee, the f...",POSITIVE,0.9998513460159302,Max retries exceeded,,,,,,
32B,0.05,Describe the customer service you received.,"Certainly! Here's a sample description of customer service received, which you can customize based on your actual experience:

---

The customer service I received was exceptional and truly made a pos...",POSITIVE,0.9997745156288148,,1.0,False,False,False,True,poor
